City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-12.15,85,20,9.26,CA,1712225329
1,haiku-pauwela,20.9219,-156.3051,22.25,84,40,8.23,US,1712225329
2,lazaro cardenas,17.9583,-102.2,20.29,86,7,1.72,MX,1712225197
3,port mathurin,-19.6833,63.4167,27.09,80,96,8.64,MU,1712225329
4,pudozh,61.8099,36.5345,-6.7,89,100,5.81,RU,1712225329
5,charters towers,-20.1,146.2667,25.33,70,96,4.48,AU,1712225329
6,sao vicente,-23.9631,-46.3919,25.71,83,0,1.19,BR,1712225211
7,margaret river,-33.95,115.0667,20.12,52,100,0.64,AU,1712225329
8,vorgashor,67.5833,63.95,-13.44,88,99,3.98,RU,1712225330
9,port-aux-francais,-49.35,70.2167,6.33,69,68,7.35,TF,1712225330
10,kingston,17.997,-76.7936,26.53,78,20,5.14,JM,1712225103
11,cabaritan east,18.4206,121.4897,27.51,84,4,3.72,PH,1712225330
12,adamstown,-25.066,-130.1015,22.62,71,49,3.77,PN,1712225330
13,zaozersk,69.4005,32.4476,-5.94,75,99,3.84,RU,1712225330
14,yellowknife,62.456,-114.3525,-17.06,92,36,3.58,CA,1712225330
15,manzhouli,49.6,117.4333,3.28,47,87,2.25,CN,1712225330
16,alofi,-19.0595,-169.9187,25.94,94,40,4.63,NU,1712225330
17,bethel,41.3712,-73.414,3.44,87,100,2.24,US,1712225330
18,qaqortoq,60.7167,-46.0333,-7.75,78,6,1.49,GL,1712225330
19,puerto natales,-51.7236,-72.4875,6.37,77,100,10.03,CL,1712225330
20,san-pedro,4.7485,-6.6363,30.76,66,83,2.69,CI,1712225154
21,changji,44.0167,87.3167,12.44,43,75,4.0,CN,1712225330
22,enewetak,11.3474,162.3373,26.98,76,99,8.53,MH,1712225331
23,susuman,62.7833,148.1667,-15.01,89,24,0.89,RU,1712225331
24,blackmans bay,-43.0167,147.3167,13.07,84,54,2.1,AU,1712225331
25,geraldton,-28.7667,114.6,28.23,30,32,5.66,AU,1712225331
26,sola,-13.8833,167.55,28.11,84,49,8.99,VU,1712225331
27,bredasdorp,-34.5322,20.0403,25.3,50,5,4.31,ZA,1712225331
28,faya-largeau,17.9257,19.1043,36.29,8,90,7.08,TD,1712225331
29,lata,40.1629,-8.3327,18.37,52,47,4.12,PT,1712225227
30,las khorey,11.1595,48.1967,30.19,66,61,3.79,SO,1712225331
31,vilyuysk,63.7553,121.6247,0.0,84,100,7.15,RU,1712225331
32,makaha,21.4694,-158.2175,23.95,78,40,5.66,US,1712225331
33,whitehorse,60.7161,-135.0538,-4.39,94,87,1.04,CA,1712225331
34,akrehamn,59.2667,5.1833,0.79,93,100,10.8,NO,1712225331
35,virginia beach,36.8529,-75.978,8.34,93,20,2.57,US,1712225226
36,grytviken,-54.2811,-36.5092,4.82,99,100,7.71,GS,1712225332
37,mazarron,37.5992,-1.3149,23.3,46,73,2.26,ES,1712225332
38,college,64.8569,-147.8028,-2.82,79,100,2.57,US,1712225143
39,phongsali,21.6833,102.1058,33.03,14,17,2.52,LA,1712225332
40,mugia,43.1041,-9.2179,15.51,83,100,12.97,ES,1712225332
41,prince rupert,54.3161,-130.3201,5.83,90,100,2.57,CA,1712225179
42,stanley,54.868,-1.6985,5.77,89,75,4.12,GB,1712225332
43,sitka,57.0531,-135.33,3.94,87,100,1.54,US,1712225332
44,ziway,7.9333,38.7167,26.51,47,84,4.28,ET,1712225332
45,lincheng,19.9078,109.6858,28.59,70,1,3.52,CN,1712225332
46,ilulissat,69.2167,-51.1,-3.99,86,75,1.54,GL,1712225332
47,sakakah,29.9697,40.2064,30.76,11,0,2.92,SA,1712225333
48,port elizabeth,-33.918,25.5701,31.16,40,0,2.06,ZA,1712225217
49,badger,64.8,-147.5333,-2.86,82,100,2.57,US,1712225333
50,alice springs,-23.7,133.8833,20.68,33,0,3.6,AU,1712225333
51,ashburton,-37.8626,145.0794,15.88,61,17,2.24,AU,1712225333
52,mengyin,35.7069,117.9264,14.7,28,99,2.1,CN,1712225333
53,invercargill,-46.4,168.35,10.57,81,95,5.36,NZ,1712225301
54,papatowai,-46.5619,169.4708,9.7,87,80,5.1,NZ,1712225333
55,tabas,33.5959,56.9244,26.77,13,1,1.6,IR,1712225163
56,lapai,9.05,6.5667,36.29,38,99,2.69,NG,1712225333
57,mkushi,-13.6202,29.3939,29.47,41,10,3.21,ZM,1712225333
58,hermanus,-34.4187,19.2345,21.56,78,1,3.88,ZA,1712225214
59,puerto baquerizo moreno,-0.9,-89.6,24.06,86,52,2.01,EC,1712225333
60,general conesa,-40.1,-64.4333,11.93,49,0,7.06,AR,1712225333
61,newman,37.3138,-121.0208,11.13,74,72,1.79,US,1712225333
62,manicore,-5.8092,-61.3003,23.05,99,86,0.86,BR,1712225334
63,al kharijah,25.4514,30.5464,34.14,14,0,1.71,EG,1712225334
64,port augusta,-32.5,137.7667,18.04,58,0,8.54,AU,1712225334
65,bandon,51.7469,-8.7425,9.77,94,88,4.4,IE,1712225334
66,kodiak,57.79,-152.4072,2.73,93,100,2.57,US,1712225334
67,dubrovnik,42.6481,18.0922,17.8,36,0,4.12,HR,1712225334
68,inhambane,-23.865,35.3833,28.99,74,40,3.6,MZ,1712225135
69,trairi,-3.2778,-39.2689,25.11,94,67,1.5,BR,1712225185
70,shahrak,34.1074,64.3052,10.06,25,100,5.18,AF,1712225076
71,tarawa,1.419,172.984,26.05,94,75,2.06,KI,1712225334
